analysis_variant	scope	cas	state	n_targetable	n_total	proportion	delta_vs_primary	n_changed_vs_primary
matched_depth_macs3	genome_wide	Un1Cas12f1_TTTR	LL_tolerized	6885	21599	0.3187647576276679	-0.06991064401129682	1840
matched_depth_macs3	genome_wide	Un1Cas12f1_TTTR	sham_WT	7033	21599	0.3256169267095699	-0.07268855039585165	2108
matched_depth_macs3	genome_wide	Un1Cas12f1_TTTR	stroke_WT	6649	21599	0.3078383258484189	-0.12468169822676978	2801
matched_depth_macs3	genome_wide	SaCas9_NNGRRT	homeostatic	7147	21599	0.3308949488402241	-0.031807028103152946	1789
matched_depth_macs3	genome_wide	SaCas9_NNGRRT	PP_control	8364	21599	0.3872401500069448	-0.04611324598361033	1452
matched_depth_macs3	genome_wide	SaCas9_NNGRRT	PL_acute_LPS	8489	21599	0.3930274549747674	-0.05815084031668133	1586
matched_depth_macs3	genome_wide	SaCas9_NNGRRT	LL_tolerized	8511	21599	0.3940460206491041	-0.052270938469373585	1499
matched_depth_macs3	genome_wide	SaCas9_NNGRRT	sham_WT	8228	21599	0.3809435622019538	-0.06518820315755358	2024
matched_depth_macs3	genome_wide	SaCas9_NNGRRT	stroke_WT	8120	21599	0.3759433307097551	-0.11319968517060974	2531
matched_depth_macs3	genome_wide	SpCas9_NGG	homeostatic	8409	21599	0.3893235797953609	-0.021528774480299995	1661
matched_depth_macs3	genome_wide	SpCas9_NGG	PP_control	9576	21599	0.44335385897495255	-0.0225010417148942	980
matched_depth_macs3	genome_wide	SpCas9_NGG	PL_acute_LPS	9753	21599	0.4515486828093893	-0.029677299874994234	1047
matched_depth_macs3	genome_wide	SpCas9_NGG	LL_tolerized	9694	21599	0.44881707486457706	-0.027038288809667133	1010
matched_depth_macs3	genome_wide	SpCas9_NGG	sham_WT	9060	21599	0.4194638640677809	-0.04935413676559103	1758
matched_depth_macs3	genome_wide	SpCas9_NGG	stroke_WT	9238	21599	0.4277049863419603	-0.08884670586601229	2001
matched_depth_macs3	genome_wide	CjCas9_NNNVRYM	homeostatic	8344	21599	0.38631418121209316	-0.02208435575721096	1669
matched_depth_macs3	genome_wide	CjCas9_NNNVRYM	PP_control	9460	21599	0.4379832399648132	-0.026760498171211622	1056
matched_depth_macs3	genome_wide	CjCas9_NNNVRYM	PL_acute_LPS	9613	21599	0.445066901245428	-0.03523311264410389	1135
matched_depth_macs3	genome_wide	CjCas9_NNNVRYM	LL_tolerized	9600	21599	0.4444650215287745	-0.03018658271216257	1080
matched_depth_macs3	genome_wide	CjCas9_NNNVRYM	sham_WT	8981	21599	0.41580628732811703	-0.05171535719246262	1807
matched_depth_macs3	genome_wide	CjCas9_NNNVRYM	stroke_WT	9112	21599	0.42187138293439513	-0.09356914671975552	2103
matched_depth_macs3	genome_wide	Nme2Cas9_NNNNCC	homeostatic	8262	21599	0.38251770915320155	-0.022825130793092285	1685
matched_depth_macs3	genome_wide	Nme2Cas9_NNNNCC	PP_control	9391	21599	0.43478864762257513	-0.028242048242974216	1094
matched_depth_macs3	genome_wide	Nme2Cas9_NNNNCC	PL_acute_LPS	9554	21599	0.4423352933006158	-0.03629797675818325	1154
matched_depth_macs3	genome_wide	Nme2Cas9_NNNNCC	LL_tolerized	9506	21599	0.4401129681929719	-0.033288578174915484	1117
matched_depth_macs3	genome_wide	Nme2Cas9_NNNNCC	sham_WT	8932	21599	0.4135376637807306	-0.05305801194499743	1834
matched_depth_macs3	genome_wide	Nme2Cas9_NNNNCC	stroke_WT	9052	21599	0.41909347654984025	-0.0950043983517756	2128
appris_principal_tss	therapeutic_panel	Un1Cas12f1_TTTR	homeostatic	22	55	0.4	-0.018181818181818132	1
appris_principal_tss	therapeutic_panel	Un1Cas12f1_TTTR	PP_control	28	55	0.509090909090909	0.0	2
appris_principal_tss	therapeutic_panel	Un1Cas12f1_TTTR	PL_acute_LPS	33	55	0.6	0.0	2
appris_principal_tss	therapeutic_panel	Un1Cas12f1_TTTR	LL_tolerized	31	55	0.5636363636363636	0.0	2
appris_principal_tss	therapeutic_panel	Un1Cas12f1_TTTR	sham_WT	31	55	0.5636363636363636	0.0	2
appris_principal_tss	therapeutic_panel	Un1Cas12f1_TTTR	stroke_WT	37	55	0.6727272727272727	0.018181818181818188	1
appris_principal_tss	therapeutic_panel	SaCas9_NNGRRT	homeostatic	26	55	0.4727272727272727	0.018181818181818188	1
appris_principal_tss	therapeutic_panel	SaCas9_NNGRRT	PP_control	33	55	0.6	0.018181818181818188	1
appris_principal_tss	therapeutic_panel	SaCas9_NNGRRT	PL_acute_LPS	38	55	0.6909090909090909	0.018181818181818188	3
appris_principal_tss	therapeutic_panel	SaCas9_NNGRRT	LL_tolerized	36	55	0.6545454545454545	0.018181818181818188	3
appris_principal_tss	therapeutic_panel	SaCas9_NNGRRT	sham_WT	37	55	0.6727272727272727	0.018181818181818188	3
appris_principal_tss	therapeutic_panel	SaCas9_NNGRRT	stroke_WT	41	55	0.7454545454545455	0.036363636363636376	2
appris_principal_tss	therapeutic_panel	SpCas9_NGG	homeostatic	31	55	0.5636363636363636	0.0	2
appris_principal_tss	therapeutic_panel	SpCas9_NGG	PP_control	35	55	0.6363636363636364	0.0	2
appris_principal_tss	therapeutic_panel	SpCas9_NGG	PL_acute_LPS	40	55	0.7272727272727273	0.018181818181818188	3
appris_principal_tss	therapeutic_panel	SpCas9_NGG	LL_tolerized	38	55	0.6909090909090909	0.018181818181818188	3
appris_principal_tss	therapeutic_panel	SpCas9_NGG	sham_WT	39	55	0.7090909090909091	0.036363636363636376	2
